Temperature: 21 C
Humidity: 4 %
Date: 2024-12-10 11:01:31.457471
voltage,pad,gr,totalCurrent
0.004071131,-7.149832E-07,+1.088025E-06,1.87373e-08
-1.991943,+1.887213E-09,+5.076728E-11,-8.822363e-09
-3.981553,-2.065919E-10,-1.768790E-10,1.648307e-10
-5.995306,+3.799849E-09,-6.013089E-12,-1.373412e-09
-7.990144,-3.966880E-09,-9.225557E-12,-3.645118e-09
-9.982383,-1.398730E-09,-2.045953E-10,2.607764e-09
-11.99795,+8.944612E-10,+1.384976E-12,-1.654054e-08
-13.99084,-4.946150E-09,-2.003935E-11,7.813657e-11
-15.99504,+5.137657E-09,-2.012659E-11,8.884768e-10
-17.99947,-1.917129E-09,+8.411410E-11,-3.878894e-10
-19.98382,-1.015030E-09,+2.260511E-11,-9.466252e-10
-21.98582,-8.930568E-10,-3.119512E-11,1.24302e-09
-23.99737,-9.209598E-10,+9.967868E-11,-9.079701e-10
-25.99338,-1.693505E-09,+4.892789E-11,-1.302801e-09
-27.9868,-1.794337E-09,+2.657550E-10,1.086605e-09
-30.00326,-3.930575E-10,+4.603597E-11,-3.285586e-09
-31.99287,-1.304565E-09,-4.013133E-10,-1.327642e-09
-33.98716,-1.110561E-09,-9.294839E-11,-1.302101e-09
-36.00145,-9.382857E-10,-7.860632E-11,-1.079849e-09
-37.99137,-1.107893E-10,-1.429686E-10,-2.336286e-09
-39.99255,-1.055218E-09,+3.035158E-10,-2.364936e-09
-42.00404,-9.122945E-10,-1.224245E-10,7.67041e-10
-43.99718,-1.818912E-09,-7.534717E-11,-4.994865e-10
-45.98872,-1.078806E-09,+3.051699E-10,-1.213818e-09
-48.00403,-1.434781E-09,-1.574244E-10,-1.396429e-09
-49.99492,-1.496753E-09,-8.087504E-11,-6.985328e-10
-51.98929,-1.377990E-09,-1.746947E-10,-1.843267e-09
-54.00473,-1.542998E-09,+6.171073E-11,-1.628681e-09
-55.98897,-1.193670E-09,-1.037233E-10,1.967016e-09
-57.99103,-1.670489E-09,-8.896801E-11,-1.58281e-09
-60.00402,-1.922235E-09,-8.000663E-11,-1.278301e-09
-61.9972,-1.971319E-09,-1.345845E-10,-1.146803e-09
-63.98912,-1.951125E-09,-1.757435E-10,-2.091118e-09
-66.00402,-1.856593E-09,-1.742394E-10,-2.208456e-09
-67.99638,-1.952841E-09,-2.167595E-10,-5.794509e-11
-69.98923,-2.579357E-09,+3.297114E-11,-2.458131e-09
-72.00655,-2.143477E-09,-1.740223E-10,1.354559e-09
-73.99693,-2.156768E-09,-2.609763E-10,-4.421852e-09
-75.99595,-2.341115E-09,-2.570135E-10,-2.579369e-09
-77.98601,-2.524855E-09,-2.722857E-10,-2.718846e-09
