Temperature: -20 C
Humidity: 17 %
Date: 2024-12-04 22:27:00.831430
voltage,pad,gr,totalCurrent
0.006687291,-1.815961E-11,+2.971058E-11,5.542221e-10
-1.992128,-1.239823E-10,+2.012752E-12,8.838108e-11
-3.985901,+5.763293E-11,-9.943747E-12,-2.872809e-10
-6.000793,-4.929062E-11,+4.737992E-11,-1.576674e-10
-7.992604,+8.092382E-11,+1.331951E-11,-6.068868e-10
-9.9902,+1.276482E-12,+1.759875E-11,-1.644965e-10
-12.00208,+4.859297E-11,+8.619788E-13,1.183187e-10
-13.9881,-3.106945E-11,+5.150982E-11,6.190714e-11
-15.98826,+1.745170E-11,-1.090051E-11,-2.555574e-10
-18.00135,-7.905006E-11,+3.281606E-11,1.020382e-10
-19.99529,-2.790707E-11,+8.168593E-12,-1.380198e-10
-21.98839,-1.595537E-11,-2.410454E-11,6.413368e-11
-24.0013,-1.289894E-11,-4.149054E-11,-1.981005e-10
-25.99584,-1.265020E-11,+5.600600E-12,5.73545e-11
-27.99058,-1.103099E-11,-5.481402E-11,1.773522e-10
-30.00319,-1.509512E-11,-2.181886E-11,9.323063e-11
-33.9931,-1.704138E-11,+1.767338E-11,-1.295074e-10
-37.99399,-1.506978E-11,+5.826173E-11,-1.838963e-10
-42.00438,-1.986059E-11,-2.650295E-12,-5.071993e-11
-45.99375,-2.563373E-11,+1.594377E-11,-1.444633e-11
-49.99688,-2.103986E-11,+2.705183E-11,-8.076016e-11
-54.00722,-2.929940E-11,-9.316624E-12,2.099121e-10
-57.99516,-2.685216E-11,-4.110230E-11,-3.005929e-10
-61.99978,-2.966560E-11,-1.316895E-11,-1.913698e-10
-66.00707,-2.464333E-11,-7.664974E-12,1.636953e-10
-69.99257,-3.250898E-11,+7.874578E-12,1.375183e-10
-74.00204,-2.970131E-11,-6.006760E-11,-5.314485e-11
-77.98975,-3.367558E-11,-6.526947E-11,-7.002081e-11
-82.00045,-3.166136E-11,-5.536419E-11,-2.274476e-10
-86.00367,-4.450902E-11,-3.326098E-11,-3.340987e-10
-89.99557,-4.199155E-11,-4.253915E-11,-4.542447e-11
-93.9994,-5.014052E-11,+5.409948E-12,1.039453e-11
-98.00446,-5.140963E-11,+6.307037E-11,-2.877751e-10
-101.9947,-5.650446E-11,+1.616314E-11,-3.553286e-10
-104.0076,-5.995015E-11,-8.251895E-12,-2.480843e-10
-105.9994,-6.352140E-11,+1.585649E-11,-2.684259e-10
-107.9923,-7.015712E-11,+6.748856E-11,9.050838e-11
-110.0077,-8.036285E-11,+4.072906E-11,-3.035127e-10
-112.0013,-7.806765E-11,-3.014950E-11,-2.082969e-11
-113.997,-8.160432E-11,-6.510524E-11,1.812128e-10
-116.0071,-9.593409E-11,+1.757002E-11,-1.960712e-10
-118.0039,-9.679211E-11,+2.755716E-11,-3.981385e-10
-119.9954,-1.060536E-10,+1.243863E-11,-4.022808e-11
-122.0077,-1.201081E-10,-1.027684E-11,1.742129e-11
-124.0049,-1.259238E-10,-1.381560E-11,-6.239944e-11
-125.9961,-1.494678E-10,-4.820276E-11,-2.985151e-10
-128.0098,-1.607551E-10,+6.038753E-11,-4.537503e-11
-130.0032,-1.791523E-10,+2.998736E-11,-7.957252e-11
-131.9984,-2.073572E-10,+8.304815E-11,-3.359291e-10
-134.0066,-2.413292E-10,-5.886275E-11,-1.018923e-10
-136.0037,-2.840100E-10,-7.011414E-11,-4.401066e-12
-137.9996,-3.591964E-10,+5.928499E-11,-1.819173e-10
-140.0091,-4.732765E-10,+3.674616E-11,-4.043241e-10
-142.0048,-6.921056E-10,-4.663502E-11,-6.222277e-10
-143.9954,-1.268470E-09,-9.765700E-11,-1.391345e-09
-146.0139,-4.541262E-09,-1.656184E-11,-4.293971e-09
-147.1593,-4.995801E-06,+5.041301E-11,-4.996921e-06
