Temperature: 40 C
Humidity: 10 %
Date: 2024-12-05 12:11:39.437886
voltage,pad,gr,totalCurrent
0.001730874,-6.299448E-10,+4.357327E-10,4.186627e-11
-1.991528,-3.069728E-10,-7.897973E-11,-3.119755e-10
-3.987264,-2.579155E-10,-9.050106E-11,-8.414134e-10
-6.002039,-2.003109E-10,-1.012046E-10,-1.092675e-09
-7.992104,-1.165837E-10,-1.125169E-10,-8.063261e-10
-9.988153,-1.528913E-10,-1.221098E-10,-4.459929e-10
-12.00251,-3.540917E-10,-1.283580E-10,-9.588073e-10
-13.99032,-2.961495E-10,-1.346281E-10,-8.817e-10
-15.99195,-5.834110E-10,-1.390363E-10,-8.126135e-10
-18.00264,-7.451055E-10,-1.464354E-10,-7.609927e-10
-19.99687,-1.412354E-09,-1.562362E-10,-1.445834e-09
-21.99034,-3.080271E-09,-1.583093E-10,-3.269177e-09
-24.0037,-3.211036E-09,-1.644956E-10,-3.13041e-09
-25.9973,-3.322970E-09,-1.737219E-10,-3.261655e-09
-27.99022,-3.434464E-09,-1.798140E-10,-3.493672e-09
-30.00543,-3.541385E-09,-1.826233E-10,-3.981881e-09
-33.99291,-3.759517E-09,-2.026109E-10,-3.827619e-09
-37.99461,-4.013328E-09,-2.242464E-10,-4.421356e-09
-42.00615,-4.285680E-09,-2.581797E-10,-4.456676e-09
-45.99585,-4.591404E-09,-2.928771E-10,-4.776374e-09
-49.99691,-4.928511E-09,-3.064543E-10,-5.40574e-09
-54.00661,-5.267464E-09,-3.225228E-10,-5.598999e-09
-57.99639,-5.621000E-09,-3.407999E-10,-6.24068e-09
-62.00005,-6.007181E-09,-3.555374E-10,-6.554252e-09
-66.00685,-6.400978E-09,-3.679118E-10,-6.676141e-09
-69.9933,-6.823929E-09,-3.828019E-10,-7.162897e-09
-74.00184,-7.270288E-09,-3.989750E-10,-7.580349e-09
-77.98939,-7.756316E-09,-4.149722E-10,-8.060215e-09
-82.00098,-8.285464E-09,-4.244307E-10,-8.815995e-09
-86.00395,-8.853296E-09,-4.403674E-10,-9.361489e-09
-89.99393,-9.481099E-09,-4.526819E-10,-9.942124e-09
-94.0013,-1.016782E-08,-4.643300E-10,-1.091858e-08
-98.00475,-1.092246E-08,-4.774660E-10,-1.130506e-08
-101.9959,-1.175002E-08,-4.916119E-10,-1.231777e-08
-106.0004,-1.268763E-08,-5.040002E-10,-1.331769e-08
-110.0073,-1.374985E-08,-5.135303E-10,-1.437306e-08
-113.9996,-1.493168E-08,-5.236087E-10,-1.571964e-08
-118.0061,-1.628969E-08,-5.396808E-10,-1.687868e-08
-122.0081,-1.784478E-08,-5.508815E-10,-1.829444e-08
-125.9983,-1.966501E-08,-5.585002E-10,-2.040104e-08
-130.0058,-2.181561E-08,-5.744571E-10,-2.215746e-08
-131.9985,-2.310406E-08,-5.769290E-10,-2.371077e-08
-134.0074,-2.450050E-08,-5.847139E-10,-2.530419e-08
-136.0044,-2.605137E-08,-5.894153E-10,-2.692512e-08
-138.0005,-2.778673E-08,-5.906358E-10,-2.820937e-08
-140.0097,-2.974085E-08,-6.046989E-10,-3.053587e-08
-142.0061,-3.190670E-08,-6.038137E-10,-3.254023e-08
-143.9985,-3.436138E-08,-6.145699E-10,-3.513821e-08
-146.0165,-3.718910E-08,-6.230149E-10,-3.79071e-08
-148.0128,-4.048927E-08,-6.279206E-10,-4.102185e-08
-150.0043,-4.429013E-08,-6.313126E-10,-4.518834e-08
-152.0192,-4.884150E-08,-6.397245E-10,-4.962493e-08
-154.0104,-5.423238E-08,-6.451732E-10,-5.507162e-08
-156.0075,-6.088352E-08,-6.523928E-10,-6.132434e-08
-158.0189,-6.929848E-08,-6.610871E-10,-7.012495e-08
-160.0144,-8.004546E-08,-6.650686E-10,-8.058829e-08
-162.0101,-9.448727E-08,-6.717711E-10,-9.522237e-08
-164.0196,-1.149053E-07,-6.773518E-10,-1.154349e-07
-166.0166,-1.457593E-07,-6.822686E-10,-1.463281e-07
-168.008,-1.974748E-07,-6.878060E-10,-1.979539e-07
-170.0262,-3.027070E-07,-6.944571E-10,-3.035609e-07
-172.0255,-6.022105E-07,-7.047440E-10,-6.040902e-07
-172.9942,-2.859098E-06,-7.085582E-10,-2.778184e-06
-174.6897,-9.996401E-06,-7.128227E-10,-9.997837e-06
