Temperature: -60 C
Humidity: 6 %
Date: 2024-12-06 09:43:20.574353
voltage,pad,gr,totalCurrent
0.00630597,-1.680037E-08,+9.307557E-09,-3.302731e-09
-1.990276,-2.896099E-09,+2.028303E-11,5.931637e-10
-3.984905,-1.674880E-09,-7.458054E-11,4.570518e-09
-6.0009,+1.700405E-10,+7.169362E-11,1.264829e-10
-7.993183,+2.155314E-12,-5.016584E-11,-4.22338e-10
-9.987335,-4.773684E-10,-7.225444E-11,-6.586368e-11
-11.99974,-1.364917E-09,-5.724846E-11,-4.734603e-10
-13.99172,-7.594775E-10,+9.389901E-13,3.05911e-10
-15.99142,-4.718020E-10,-5.064708E-11,-4.768755e-10
-18.00075,-3.697462E-11,+1.654099E-11,1.06442e-10
-19.99603,+1.054675E-09,+1.583693E-11,-1.343088e-09
-21.98993,-1.842807E-10,+2.991459E-12,2.229598e-12
-24.00174,-7.665406E-13,-1.354548E-11,-1.739487e-10
-25.99544,-8.020131E-12,-9.741911E-11,9.916815e-11
-27.99153,+9.306105E-11,+8.410346E-12,-1.224301e-10
-30.0042,+1.022056E-12,-5.350721E-11,4.72102e-11
-33.99245,+5.032212E-12,+3.939609E-11,2.074876e-10
-37.99692,+2.222107E-12,+8.022377E-11,-1.523223e-10
-42.0031,+1.145285E-12,-2.801965E-11,-6.922895e-11
-45.99393,-2.040352E-12,-4.672319E-11,1.580533e-10
-49.99702,+7.095787E-11,-8.239694E-11,-2.851032e-10
-54.00916,+1.410194E-13,-4.157836E-11,-1.307447e-10
-57.99634,-7.422367E-12,+1.992001E-11,-1.372279e-10
-61.99932,-2.490674E-12,-9.906616E-11,-2.751549e-10
-66.00541,-3.081521E-13,+2.834123E-11,1.752732e-10
-69.99319,+2.332317E-11,-3.726056E-11,1.27202e-11
-74.00125,+8.274212E-13,+7.945187E-11,9.352705e-11
-77.99078,-1.630333E-12,+3.151694E-11,2.331698e-10
-82.00046,+7.531338E-12,+4.005987E-11,-8.273972e-11
-83.9927,+2.400638E-13,+6.798005E-11,-1.610321e-10
-86.00494,+3.997989E-12,+4.288188E-11,5.047637e-11
-87.99954,+4.873268E-12,-7.342725E-12,2.657789e-10
-89.99525,+3.210587E-11,+6.505353E-11,1.151022e-10
-92.00493,-5.073988E-12,+1.247645E-10,9.570399e-11
-94.00045,-1.827275E-12,+6.804660E-11,1.487505e-10
-95.99587,-5.553102E-12,+5.184512E-11,-1.93151e-10
-98.00514,+6.029548E-12,-9.471948E-11,-1.959718e-10
-100.0024,-5.953898E-12,+5.693207E-11,-1.895384e-10
-101.9945,-5.039442E-13,-3.949690E-11,-2.840139e-10
-104.0072,+5.816484E-12,+2.365620E-11,9.313135e-11
-106.0002,-4.638632E-12,+4.531481E-13,-1.822135e-10
-107.992,-2.465329E-12,+8.202670E-11,-8.773801e-11
-110.0062,+6.984306E-13,+7.301520E-11,-3.545869e-10
-112.001,+3.087007E-12,+5.179805E-11,9.897017e-11
-113.9979,+3.472821E-12,-1.353782E-10,-1.565784e-10
-116.0059,-6.248732E-12,-6.875641E-11,-1.56232e-10
-118.0041,+1.139522E-12,+3.645565E-11,-2.520938e-10
-119.9954,+1.284633E-12,+1.946052E-11,1.841088e-11
-122.0085,+3.840203E-12,+8.493364E-11,-1.794921e-10
-124.0055,+1.724571E-12,-9.796424E-11,2.323288e-10
-125.9954,-1.637465E-11,+7.814110E-11,2.181759e-10
-127.2053,-4.993933E-06,+3.901690E-11,-4.701924e-06
