Temperature: 40 C
Humidity: 6 %
Date: 2024-12-09 16:27:40.641485
voltage,pad,gr,totalCurrent
0.004834987,+7.627764E-11,+2.950776E-11,-6.27519e-10
-1.989238,-2.329545E-10,-1.762568E-10,-1.174975e-09
-3.984894,-4.074447E-10,-1.971790E-10,-5.320542e-10
-6.000964,-3.523326E-10,-2.115002E-10,-4.922168e-10
-7.989773,-4.178037E-10,-2.174255E-10,-1.43093e-09
-9.985964,-5.338225E-10,-2.327529E-10,-1.335464e-09
-12.00182,-5.160229E-10,-2.417105E-10,-1.174775e-09
-13.991,-7.802645E-10,-2.510275E-10,-1.304487e-09
-15.98768,-1.074015E-09,-2.526239E-10,-1.149433e-09
-17.99789,-1.561671E-09,-2.651639E-10,-2.336634e-09
-19.99212,-2.755003E-09,-2.704391E-10,-3.202461e-09
-21.98779,-5.986815E-09,-2.785662E-10,-6.154985e-09
-23.99868,-6.272556E-09,-2.877407E-10,-6.429525e-09
-25.99498,-6.481298E-09,-2.952636E-10,-7.013193e-09
-27.98618,-6.666421E-09,-3.028625E-10,-7.042843e-09
-30.0019,-6.850807E-09,-3.146134E-10,-7.057704e-09
-33.98892,-7.241418E-09,-3.506701E-10,-7.632265e-09
-37.99263,-7.687384E-09,-4.044425E-10,-8.158804e-09
-42.00087,-8.184649E-09,-4.516536E-10,-8.851969e-09
-45.99034,-8.722735E-09,-4.966479E-10,-9.45415e-09
-49.99447,-9.298432E-09,-5.370586E-10,-9.589299e-09
-54.00732,-9.904524E-09,-5.637714E-10,-1.067071e-08
-57.99375,-1.052861E-08,-5.806717E-10,-1.129163e-08
-61.99705,-1.118047E-08,-5.971369E-10,-1.210796e-08
-66.00335,-1.185256E-08,-6.184905E-10,-1.255965e-08
-69.99158,-1.257131E-08,-6.269777E-10,-1.337861e-08
-73.99854,-1.333076E-08,-6.387226E-10,-1.424402e-08
-77.98892,-1.413734E-08,-6.480640E-10,-1.460473e-08
-81.99789,-1.500719E-08,-6.618023E-10,-1.573438e-08
-86.00125,-1.595813E-08,-6.677304E-10,-1.664953e-08
-89.99142,-1.699573E-08,-6.796511E-10,-1.789092e-08
-93.99881,-1.811972E-08,-6.862065E-10,-1.901515e-08
-98.00257,-1.935746E-08,-6.947601E-10,-2.028365e-08
-101.9926,-2.072858E-08,-7.032147E-10,-2.152287e-08
-105.9963,-2.222819E-08,-7.119249E-10,-2.283766e-08
-110.0054,-2.393730E-08,-7.130486E-10,-2.449445e-08
-113.9961,-2.584519E-08,-7.215425E-10,-2.669156e-08
-118.0024,-2.802634E-08,-7.334986E-10,-2.860036e-08
-122.0074,-3.055095E-08,-7.343872E-10,-3.1163e-08
-125.9945,-3.345677E-08,-7.394882E-10,-3.447383e-08
-130.0011,-3.687906E-08,-7.465241E-10,-3.793926e-08
-131.9963,-3.882373E-08,-7.527007E-10,-3.967039e-08
-134.0049,-4.097432E-08,-7.466679E-10,-4.198987e-08
-136.0016,-4.334029E-08,-7.574845E-10,-4.408508e-08
-137.9987,-4.602186E-08,-7.537460E-10,-4.677772e-08
-140.0078,-4.892176E-08,-7.584572E-10,-4.95162e-08
-142.0043,-5.219044E-08,-7.634610E-10,-5.317518e-08
-143.9945,-5.588100E-08,-7.667191E-10,-5.693175e-08
-146.014,-6.016465E-08,-7.686544E-10,-6.111497e-08
-148.0105,-6.501724E-08,-7.730937E-10,-6.581836e-08
-150.0031,-7.067000E-08,-7.801573E-10,-7.141117e-08
-152.017,-7.735584E-08,-7.799829E-10,-7.804144e-08
-154.0094,-8.527920E-08,-7.803757E-10,-8.596949e-08
-156.0063,-9.492716E-08,-7.813803E-10,-9.59723e-08
-158.0152,-1.069925E-07,-7.872322E-10,-1.079446e-07
-160.013,-1.222345E-07,-7.950607E-10,-1.231318e-07
-162.0083,-1.423132E-07,-8.000755E-10,-1.433469e-07
-164.0189,-1.702366E-07,-7.976914E-10,-1.710157e-07
-166.0164,-2.107354E-07,-8.010643E-10,-2.12012e-07
-168.008,-2.754091E-07,-7.993043E-10,-2.760084e-07
-170.0245,-3.957539E-07,-8.083050E-10,-3.967833e-07
-172.0247,-6.803807E-07,-8.075936E-10,-6.814323e-07
-173.0641,-1.897418E-06,-8.151281E-10,-1.897555e-06
-175.766,-9.995239E-06,-8.209464E-10,-9.997821e-06
