Temperature: -40 C
Humidity: 20 %
Date: 2024-11-27 16:19:36.523613
voltage,pad,gr,totalCurrent
0.005488597,-1.129644E-10,-3.585160E-12,5.393231e-10
-1.989398,+6.076170E-12,+1.351562E-11,1.126268e-10
-3.983927,+1.236462E-10,-6.736783E-12,-4.428246e-10
-5.999818,-6.948421E-11,+7.245061E-12,-8.129049e-10
-7.992115,+1.164629E-11,-9.847058E-12,1.117365e-10
-9.986583,+5.530092E-11,+5.111237E-12,-6.321708e-10
-12.00321,-8.253891E-11,-1.100480E-11,-5.537807e-10
-13.98902,-5.353670E-11,+2.535158E-11,-3.558223e-10
-15.9901,-3.449943E-11,+2.017306E-12,1.96477e-11
-18.00041,+1.346806E-11,+5.714031E-13,-5.363965e-11
-19.99407,-5.353553E-11,-7.353557E-12,-2.836666e-10
-21.98838,-5.644674E-12,-8.049582E-12,1.814596e-10
-24.00274,-8.485698E-12,+7.108394E-12,1.74729e-10
-25.99613,-6.017796E-12,-1.016998E-12,4.488428e-11
-27.98823,+6.394009E-12,+3.896175E-12,-1.30843e-10
-30.00163,+4.888792E-14,-8.909840E-12,-7.467277e-11
-33.98856,-6.789296E-13,+2.080713E-11,-1.847372e-10
-37.99435,+1.738234E-12,+1.704365E-11,2.70208e-11
-42.00487,+1.681808E-12,+2.372035E-13,1.223753e-10
-45.99534,+2.760824E-12,-9.066042E-12,-2.432829e-10
-49.99462,-2.051647E-12,-1.019507E-11,-2.442244e-10
-54.00679,-1.899637E-12,+8.189092E-12,-2.721314e-11
-57.994,-1.010141E-11,+7.566629E-12,1.469691e-10
-61.99769,-4.229344E-12,-2.269820E-11,-3.496857e-10
-66.00486,-7.802791E-12,-2.006917E-11,-2.598134e-10
-69.99148,-9.472553E-13,-8.536563E-12,1.952652e-10
-73.99893,+6.312243E-12,+1.348690E-11,4.315227e-11
-77.98868,-6.420859E-12,-5.048414E-12,-2.869827e-10
-81.99961,+3.748868E-12,+2.942959E-12,-4.804735e-11
-86.00219,+3.842144E-12,-7.432808E-12,-1.035252e-10
-89.99282,-8.207005E-12,+1.232582E-11,-1.829556e-10
-92.00266,+2.722822E-12,+1.678641E-11,-2.988524e-11
-93.99992,-3.415154E-12,-2.692909E-13,-2.68375e-10
-95.99354,-3.556802E-12,-9.727607E-12,2.282697e-10
-98.00356,-7.047332E-12,+1.173193E-12,-2.671829e-11
-100.0009,-6.613175E-12,+3.578053E-12,1.875946e-10
-101.9923,-7.777451E-12,-4.453463E-12,-1.678122e-10
-104.0048,-1.265099E-12,+6.952932E-14,-2.2903e-10
-105.9985,-1.099160E-11,-1.601708E-11,-2.664445e-10
-107.9915,-3.211321E-12,-5.805306E-12,6.121387e-11
-110.0066,-8.441938E-12,-4.123829E-12,1.912074e-10
-112.0005,-7.586288E-12,+1.578611E-11,-9.585432e-11
-113.9972,-1.557040E-11,+2.728787E-11,-1.294082e-10
-116.0062,-1.159390E-11,-6.123458E-12,-1.60834e-10
-118.0035,-1.059198E-11,+2.215429E-11,-2.755952e-11
-119.9936,-1.546101E-11,+1.743974E-12,1.013448e-10
-122.0087,-9.971271E-12,+8.131666E-12,2.073657e-11
-124.0048,-1.579382E-11,+1.396121E-11,1.644862e-10
-125.9948,-2.077338E-11,+8.396957E-12,8.442144e-11
-128.0094,-2.588076E-11,+1.523714E-11,-2.233396e-10
-130.0013,-3.573625E-11,-1.032601E-11,-7.388081e-11
-131.998,-5.786563E-11,-1.352358E-11,-2.92674e-10
-134.0062,-1.197877E-10,+9.337546E-12,-3.063322e-10
-136.0031,-1.813113E-09,-2.159805E-12,-7.095625e-09
-136.5804,-4.998456E-06,-1.284133E-11,-4.997e-06
