Temperature: 80 C
Humidity: 2 %
Date: 2024-11-27 14:42:50.669475
voltage,pad,gr,totalCurrent
0.008484222,-1.726354E-08,-2.340247E-09,-1.687859e-08
-1.992182,-3.520169E-08,-3.446103E-08,-7.030233e-08
-3.987773,-3.699017E-08,-3.474523E-08,-7.252325e-08
-6.002533,-3.854572E-08,-3.511157E-08,-7.48473e-08
-7.994676,-4.127225E-08,-3.535499E-08,-7.714311e-08
-9.989476,-4.474182E-08,-3.544364E-08,-8.053433e-08
-12.00455,-5.028748E-08,-3.545035E-08,-8.61524e-08
-13.99098,-5.953866E-08,-3.549494E-08,-9.553197e-08
-15.99261,-7.514127E-08,-3.559474E-08,-1.115073e-07
-18.00328,-1.020406E-07,-3.577349E-08,-1.3795e-07
-19.99996,-1.511061E-07,-3.606314E-08,-1.877777e-07
-21.99379,-2.291867E-07,-3.650836E-08,-2.663776e-07
-24.00719,-2.350562E-07,-3.701741E-08,-2.723755e-07
-26.00174,-2.398119E-07,-3.738349E-08,-2.776779e-07
-27.99539,-2.443583E-07,-3.760066E-08,-2.826043e-07
-30.01106,-2.490874E-07,-3.775946E-08,-2.872238e-07
-33.9977,-2.599535E-07,-3.833302E-08,-2.989047e-07
-37.99875,-2.723019E-07,-3.902581E-08,-3.118826e-07
-42.00965,-2.862055E-07,-3.996441E-08,-3.264558e-07
-45.99989,-3.011079E-07,-4.112945E-08,-3.425283e-07
-50.00191,-3.167606E-07,-4.262080E-08,-3.600427e-07
-54.01526,-3.330112E-07,-4.490238E-08,-3.78591e-07
-58.00262,-3.495918E-07,-4.617953E-08,-3.963147e-07
-62.00682,-3.667294E-07,-4.702881E-08,-4.141518e-07
-66.01559,-3.846235E-07,-4.765749E-08,-4.328284e-07
-70.00234,-4.030835E-07,-4.811148E-08,-4.51804e-07
-74.0108,-4.225573E-07,-4.845169E-08,-4.713083e-07
-78.00033,-4.431323E-07,-4.871908E-08,-4.923698e-07
-82.01084,-4.650953E-07,-4.897172E-08,-5.145315e-07
-86.01473,-4.885715E-07,-4.918224E-08,-5.380452e-07
-90.00522,-5.135253E-07,-4.937655E-08,-5.633328e-07
-94.01202,-5.404785E-07,-4.956545E-08,-5.907871e-07
-98.01524,-5.695637E-07,-4.976285E-08,-6.200871e-07
-102.0074,-6.008696E-07,-4.991909E-08,-6.51209e-07
-106.0135,-6.350440E-07,-5.003790E-08,-6.857426e-07
-110.0216,-6.723570E-07,-5.013860E-08,-7.233965e-07
-114.0121,-7.130056E-07,-5.021073E-08,-7.641746e-07
-118.0247,-7.581797E-07,-5.028739E-08,-8.095554e-07
-122.0463,-8.082033E-07,-5.034976E-08,-8.598334e-07
-125.8959,-8.635785E-07,-5.039192E-08,-9.157445e-07
-129.1041,-9.261211E-07,-5.046508E-08,-9.790542e-07
-131.6457,-9.968521E-07,-5.050843E-08,-1.047718e-06
-138.0018,-1.077341E-06,-5.055536E-08,-1.128587e-06
-142.0062,-1.170510E-06,-5.058054E-08,-1.221738e-06
-146.0154,-1.279439E-06,-5.061831E-08,-1.330907e-06
-150.0057,-1.407227E-06,-5.066056E-08,-1.458821e-06
-152.0206,-1.480011E-06,-5.061666E-08,-1.531123e-06
-154.0141,-1.559034E-06,-5.057558E-08,-1.610549e-06
-156.01,-1.646752E-06,-5.054491E-08,-1.698231e-06
-158.019,-1.745093E-06,-5.050121E-08,-1.796287e-06
-160.0157,-1.854126E-06,-5.046404E-08,-1.905333e-06
-162.0115,-1.976870E-06,-5.042038E-08,-2.028408e-06
-164.0206,-2.114907E-06,-5.039486E-08,-2.168476e-06
-166.0189,-2.274936E-06,-5.036569E-08,-2.328419e-06
-168.0086,-2.459180E-06,-5.033118E-08,-2.512279e-06
-170.0249,-2.677043E-06,-5.031944E-08,-2.730227e-06
-172.0165,-2.931998E-06,-5.028772E-08,-2.984958e-06
-174.0139,-3.239075E-06,-5.027125E-08,-3.292017e-06
-176.0268,-3.618658E-06,-5.025116E-08,-3.671801e-06
-178.0204,-4.089607E-06,-5.026207E-08,-4.143043e-06
-180.0156,-4.697687E-06,-5.025778E-08,-4.750441e-06
-182.027,-5.516046E-06,-5.026804E-08,-5.569046e-06
-184.0284,-6.658963E-06,-5.028215E-08,-6.711864e-06
-186.0235,-8.366056E-06,-5.031480E-08,-8.418223e-06
-187.5974,-1.120104E-05,-5.039333E-08,-1.12542e-05
-190.0166,-1.664529E-05,-5.053319E-08,-1.669433e-05
-192.0104,-3.036594E-05,-5.090460E-08,-3.042578e-05
-193.077,-4.991416E-05,-5.143466E-08,-4.997064e-05
