Temperature: -40 C
Humidity: 15 %
Date: 2024-11-27 10:02:02.883776
voltage,pad,gr,totalCurrent
0.006196335,+1.172416E-10,-1.202777E-11,4.303114e-10
-1.992237,-8.762712E-12,+2.533117E-12,-8.105843e-10
-3.984127,+1.138776E-10,+6.529820E-13,-1.271816e-10
-5.99971,+8.574751E-11,+1.449730E-11,2.224808e-10
-7.991485,+5.448257E-11,-4.477870E-12,-1.461357e-10
-9.988784,+7.239757E-11,-9.469790E-12,-1.828571e-10
-12.00198,-1.049370E-11,-7.297737E-12,1.492454e-10
-13.99011,+6.664280E-11,+2.952328E-12,1.630998e-10
-15.99147,-5.829239E-11,+9.363390E-12,-1.495014e-10
-18.00313,-6.942117E-11,-8.036296E-12,-5.34974e-10
-19.99661,-4.480374E-11,+1.602483E-11,-1.477686e-10
-21.98959,+2.109179E-12,-1.266525E-11,1.610721e-10
-24.00054,-1.038890E-11,-1.081022E-11,-3.084123e-10
-25.99475,+4.623269E-13,+9.447064E-13,6.220328e-11
-27.98879,+1.015116E-12,-6.934766E-12,6.784497e-11
-30.00334,+7.801804E-13,-1.006726E-12,8.8182e-11
-33.99101,-1.638343E-12,-4.219420E-12,-2.611002e-10
-37.99391,+1.311088E-12,+1.306622E-11,2.068448e-10
-42.00406,-2.249891E-12,+1.399521E-12,9.946488e-11
-45.99078,+4.152192E-12,+1.082202E-11,-9.130151e-11
-49.9965,+1.169435E-12,+5.873016E-12,-2.873793e-10
-54.00767,-4.443855E-12,+5.632976E-12,8.615406e-11
-57.99417,-3.375091E-12,+7.901312E-12,-1.146109e-10
-61.99778,-1.513959E-12,+1.703207E-11,1.501856e-10
-66.00413,+4.450519E-13,+9.706785E-12,1.095594e-10
-69.99202,-3.949781E-12,+2.150653E-12,1.189617e-10
-74.00005,-1.033819E-11,-2.032997E-11,1.428622e-10
-77.98855,-3.429217E-12,-9.963669E-12,1.592899e-10
-82.00046,-3.379693E-12,-4.283738E-12,-1.976043e-10
-86.00306,-6.246245E-12,-1.386668E-11,-2.520904e-12
-89.9931,+1.092274E-12,-1.081135E-11,-7.922587e-11
-94.00013,-7.209057E-12,+1.602250E-11,2.162705e-11
-98.00407,-1.668628E-11,-9.663875E-12,-2.140845e-10
-101.996,-7.220570E-12,-7.597507E-12,1.385813e-11
-105.9984,+1.709606E-13,-1.527372E-11,1.049077e-10
-110.0065,+2.572133E-12,+4.002070E-12,-1.826098e-10
-112.0009,-6.167929E-12,+8.675875E-14,-2.342265e-10
-113.9964,-8.053239E-12,-7.988035E-12,4.379598e-11
-116.0059,-5.520669E-12,-4.427310E-12,4.315253e-11
-118.0037,-7.157224E-12,-1.286852E-11,-2.017618e-10
-119.9953,-4.394325E-12,+4.889870E-12,1.371718e-10
-122.0063,-1.174439E-11,-1.518184E-11,-4.104266e-12
-124.0046,-1.075048E-11,-9.592649E-12,-1.078309e-10
-125.9947,-8.798369E-12,-1.253197E-11,2.594947e-10
-128.0095,-1.905183E-11,-1.184759E-12,-1.854802e-10
-130.0035,-2.757545E-11,+1.487281E-11,-1.965157e-10
-131.9982,-4.178959E-11,-8.302749E-12,1.293037e-10
-134.0072,-7.536237E-11,-6.954270E-12,8.635197e-11
-136.0038,-2.784000E-10,-1.683353E-11,-4.962259e-10
-137.022,-4.990604E-06,+3.786139E-12,-4.996977e-06
