Temperature: 100 C
Humidity: 2 %
Date: 2024-11-27 11:46:16.545738
voltage,pad,gr,totalCurrent
0.004781291,-4.554967E-08,-1.361174E-08,-5.380664e-08
-1.996107,-7.630891E-08,-1.183838E-07,-1.944421e-07
-3.990263,-7.926047E-08,-1.207445E-07,-2.000053e-07
-6.005922,-8.324926E-08,-1.233169E-07,-2.068645e-07
-7.997718,-8.801923E-08,-1.255649E-07,-2.138178e-07
-9.992081,-9.531755E-08,-1.271625E-07,-2.227786e-07
-12.00631,-1.068532E-07,-1.285745E-07,-2.347474e-07
-13.99764,-1.246796E-07,-1.299643E-07,-2.53919e-07
-15.99591,-1.533153E-07,-1.314274E-07,-2.848238e-07
-18.00969,-1.995150E-07,-1.330689E-07,-3.32575e-07
-20.00529,-2.791963E-07,-1.348370E-07,-4.138043e-07
-22.00058,-3.849895E-07,-1.369127E-07,-5.212888e-07
-24.01172,-3.969408E-07,-1.394859E-07,-5.354834e-07
-26.00789,-4.075496E-07,-1.424017E-07,-5.493828e-07
-28.0026,-4.180631E-07,-1.452068E-07,-5.630832e-07
-30.01645,-4.289271E-07,-1.476100E-07,-5.758218e-07
-34.00407,-4.500526E-07,-1.506378E-07,-6.000304e-07
-38.00885,-4.737256E-07,-1.534843E-07,-6.262983e-07
-42.01911,-4.998006E-07,-1.566976E-07,-6.557508e-07
-46.00794,-5.278274E-07,-1.601356E-07,-6.873321e-07
-50.01303,-5.573230E-07,-1.634438E-07,-7.200637e-07
-54.02456,-5.879766E-07,-1.667472E-07,-7.542674e-07
-58.01289,-6.195606E-07,-1.710201E-07,-7.898827e-07
-62.02153,-6.524534E-07,-1.745457E-07,-8.266676e-07
-66.03809,-6.865500E-07,-1.782130E-07,-8.646501e-07
-69.90512,-7.222090E-07,-1.816457E-07,-9.038674e-07
-73.51163,-7.598670E-07,-1.850126E-07,-9.45734e-07
-76.55372,-7.995617E-07,-1.879346E-07,-9.88637e-07
-79.47146,-8.419352E-07,-1.903530E-07,-1.039288e-06
-82.39098,-8.869908E-07,-1.925840E-07,-1.078839e-06
-89.99815,-9.350937E-07,-1.945464E-07,-1.128804e-06
-94.00426,-9.867114E-07,-1.963719E-07,-1.181859e-06
-98.00918,-1.042084E-06,-1.981705E-07,-1.238915e-06
-101.9992,-1.101554E-06,-1.998122E-07,-1.300486e-06
-106.0044,-1.166243E-06,-2.013707E-07,-1.366503e-06
-110.0122,-1.236104E-06,-2.029848E-07,-1.438246e-06
-114.003,-1.312415E-06,-2.045688E-07,-1.515857e-06
-118.0093,-1.395560E-06,-2.059935E-07,-1.600583e-06
-122.0124,-1.487304E-06,-2.073851E-07,-1.693299e-06
-126.0,-1.588136E-06,-2.089278E-07,-1.795335e-06
-130.0087,-1.700524E-06,-2.102654E-07,-1.909027e-06
-134.0138,-1.825756E-06,-2.115814E-07,-2.035683e-06
-138.0066,-1.965890E-06,-2.129817E-07,-2.17746e-06
-142.0101,-2.123303E-06,-2.142113E-07,-2.338048e-06
-146.0217,-2.305952E-06,-2.155080E-07,-2.521432e-06
-150.01,-2.515321E-06,-2.168096E-07,-2.732909e-06
-154.0161,-2.760793E-06,-2.180286E-07,-2.979328e-06
-158.0249,-3.051155E-06,-2.193943E-07,-3.270807e-06
-162.0155,-3.397904E-06,-2.205587E-07,-3.618637e-06
-166.0244,-3.824335E-06,-2.217931E-07,-4.04563e-06
-170.0289,-4.356536E-06,-2.230478E-07,-4.579337e-06
-174.0201,-5.039037E-06,-2.243190E-07,-5.261696e-06
-178.0262,-5.952503E-06,-2.256253E-07,-6.17564e-06
-182.0323,-7.228842E-06,-2.269038E-07,-7.452237e-06
-186.0267,-9.135773E-06,-2.283604E-07,-9.357343e-06
-187.7307,-1.228738E-05,-2.299688E-07,-1.251205e-05
-192.0091,-1.478477E-05,-2.312287E-07,-1.500858e-05
-194.007,-1.846722E-05,-2.326658E-07,-1.869354e-05
-196.0178,-2.443289E-05,-2.343594E-07,-2.465819e-05
-198.0155,-3.530183E-05,-2.366396E-07,-3.553931e-05
-199.3814,-4.972580E-05,-2.393882E-07,-4.997053e-05
