Temperature: 21 C
Humidity: 0 %
Date: 2024-12-10 11:13:59.020085
voltage,pad,gr,totalCurrent
0.003418863,-7.008614E-07,+5.081467E-07,2.049394e-08
-1.988086,-5.058742E-10,-1.629758E-11,-9.914175e-10
-3.981277,-1.039554E-10,-8.493099E-12,-1.07337e-09
-6.000981,+1.161608E-09,-2.959754E-11,2.795336e-10
-7.991266,+3.442380E-09,-1.243438E-11,2.848522e-09
-9.984804,+6.970008E-09,-1.906713E-11,-8.246835e-10
-12.00393,-3.223560E-11,+3.587692E-11,-7.244554e-11
-13.9883,+1.392550E-11,-2.914951E-11,7.457417e-11
-15.99065,-3.432347E-10,-2.878074E-11,-3.592858e-10
-18.00054,-2.222310E-10,-3.632903E-11,3.163504e-10
-19.99485,-1.852793E-10,-3.015460E-11,-3.394288e-11
-21.98771,-9.422831E-10,-9.061431E-11,-4.99144e-10
-24.00097,-1.003427E-09,-1.709818E-11,-1.150771e-09
-25.99359,-1.028555E-09,-5.535988E-11,-8.960002e-10
-27.98836,-1.044521E-09,-6.882179E-11,-1.123352e-09
-30.0012,-1.080227E-09,-8.686708E-11,-1.083065e-09
-31.99207,-1.150016E-09,-7.849854E-11,-1.377277e-09
-33.98824,-1.146933E-09,-9.193740E-11,-1.33799e-09
-35.99886,-1.178284E-09,-8.980647E-11,-1.460872e-09
-37.99277,-1.208408E-09,-9.878035E-11,-1.148543e-09
-39.99133,-1.261290E-09,-1.065571E-10,-1.522435e-09
-42.00113,-1.288790E-09,-1.085455E-10,-1.238806e-09
-43.99602,-1.341122E-09,-9.855858E-11,-1.197583e-09
-45.99059,-1.389080E-09,-1.049729E-10,-1.714359e-09
-48.00294,-1.433958E-09,-1.124878E-10,-1.26776e-09
-49.99298,-1.489977E-09,-1.097412E-10,-1.234302e-09
-51.9896,-1.527430E-09,-1.083086E-10,-1.772455e-09
-54.00628,-1.590174E-09,-1.221771E-10,-1.745229e-09
-55.9971,-1.631725E-09,-1.065316E-10,-2.045691e-09
-57.99334,-1.681680E-09,-1.160188E-10,-2.04059e-09
-60.00306,-1.748956E-09,-1.222528E-10,-1.681694e-09
-61.99637,-1.795968E-09,-1.400567E-10,-2.216221e-09
-63.9908,-1.868196E-09,-1.171835E-10,-1.789681e-09
-66.00371,-1.925377E-09,-1.109149E-10,-2.211572e-09
-67.99784,-1.971807E-09,-1.184447E-10,-2.231719e-09
-69.98978,-2.039132E-09,-1.105978E-10,-2.235826e-09
-72.00567,-2.111810E-09,-1.151409E-10,-2.038111e-09
-73.99782,-2.174170E-09,-1.236953E-10,-1.540848e-09
-75.99579,-2.232392E-09,-1.143643E-10,-2.508121e-09
-77.98627,-2.311126E-09,-1.163228E-10,-2.59927e-09
-79.99863,-2.399236E-09,-1.174256E-10,-2.780502e-09
-81.99712,-2.480806E-09,-1.433025E-10,-2.627822e-09
-83.98913,-2.633586E-09,-1.234597E-10,-2.713302e-09
-86.00011,-2.659127E-09,-1.469726E-10,-2.720826e-09
-87.99379,-2.634387E-09,-1.135703E-10,-2.904958e-09
-89.99199,-2.820608E-09,-1.161595E-10,-2.479712e-09
-92.00139,-2.938286E-09,-1.450116E-10,-2.879544e-09
-93.99775,-3.041638E-09,-1.073188E-10,-3.057442e-09
-95.99168,-3.165565E-09,-1.290949E-10,-3.48468e-09
-98.00206,-3.287886E-09,-1.519221E-10,-3.090607e-09
-99.99987,-3.330338E-09,-1.392357E-10,-3.317273e-09
-101.9903,-3.541239E-09,-1.712329E-10,-3.611836e-09
-104.0034,-3.669071E-09,-1.053314E-10,-3.725611e-09
-105.9955,-3.844744E-09,-1.365660E-10,-3.683091e-09
-107.9895,-4.042473E-09,-1.306616E-10,-4.6955e-09
-110.0044,-4.181782E-09,-1.267571E-10,-4.32407e-09
-111.9986,-4.361381E-09,-1.190779E-10,-4.525202e-09
-113.9941,-4.573545E-09,-1.305216E-11,-4.79877e-09
-116.0043,-4.809078E-09,-1.399763E-10,-5.145262e-09
-118.0008,-5.034357E-09,-1.528073E-10,-5.155852e-09
-119.9928,-5.450382E-09,-1.231281E-10,-5.584825e-09
-122.0057,-5.643748E-09,-1.429283E-10,-6.05939e-09
-124.003,-5.884897E-09,-1.397761E-10,-5.826857e-09
-125.9939,-6.187974E-09,-1.280204E-10,-6.150723e-09
-128.0078,-6.602329E-09,-1.149871E-10,-6.529179e-09
-130.0009,-7.030494E-09,-1.211096E-10,-6.642252e-09
-131.9955,-7.491804E-09,-1.582105E-10,-7.307181e-09
-134.0045,-8.021025E-09,-1.529872E-10,-8.003958e-09
-135.9996,-8.608096E-09,-1.392774E-10,-9.001893e-09
-137.998,-9.282728E-09,-1.158967E-10,-9.204917e-09
-140.0085,-1.016941E-08,-1.361286E-10,-1.034404e-08
-142.0033,-1.101561E-08,-2.177280E-10,-1.098468e-08
-143.9919,-1.210210E-08,-1.087942E-10,-1.182627e-08
-146.012,-1.346727E-08,-5.172773E-11,-1.466895e-08
-148.0094,-1.507035E-08,-2.089758E-10,-1.477591e-08
-150.0014,-1.721400E-08,-3.113688E-10,-1.770957e-08
-152.0159,-1.976788E-08,-1.228334E-10,-2.007315e-08
-154.0079,-2.315004E-08,-1.235893E-10,-2.354568e-08
-156.0044,-2.851029E-08,+1.021513E-11,-2.861931e-08
-158.0131,-3.601956E-08,-1.251767E-10,-3.576108e-08
-160.011,-4.807422E-08,-1.280081E-10,-4.930333e-08
-162.0054,-7.345133E-08,-1.358986E-10,-7.538699e-08
-164.0156,-1.534031E-07,-2.021315E-10,-1.574522e-07
-166.0286,-9.797751E-07,-1.303479E-10,-9.757772e-07
-166.0673,-9.995777E-06,-5.721145E-11,-9.642159e-06
-166.6237,-9.994877E-06,-6.384059E-11,-9.997887e-06
