Temperature: 21 C
Humidity: 10 %
Date: 2024-12-10 11:59:48.636798
voltage,pad,gr,totalCurrent
0.004508451,-3.111738E-07,+3.690451E-07,3.142071e-08
-1.989401,+1.689280E-09,-6.492048E-11,-6.023304e-10
-3.982451,+2.205043E-09,-1.138199E-11,-3.721541e-10
-5.995828,-1.973763E-09,-4.481081E-11,-1.396684e-09
-7.987221,-9.179766E-10,-5.007942E-11,4.226298e-09
-9.983805,+9.034552E-14,-4.253654E-11,-7.045249e-10
-11.99912,+7.928732E-10,-2.147471E-11,-8.294852e-10
-13.98803,+2.227072E-09,-1.606712E-11,-8.203775e-10
-15.98848,-1.595908E-09,-4.734916E-11,1.405912e-09
-18.00123,-8.537770E-10,-7.245889E-12,1.333113e-10
-19.9944,-8.450289E-10,-8.122819E-11,-6.21183e-10
-21.98805,-1.016760E-09,-4.686674E-11,-1.228171e-09
-23.99879,-1.002050E-09,-6.337557E-11,-1.149041e-09
-25.9956,-1.128009E-09,-8.911353E-12,-3.313238e-10
-27.9851,-1.049205E-09,+6.394312E-12,-8.02958e-10
-30.00178,-1.102925E-09,+3.846499E-11,-1.614884e-09
-31.99135,-1.107018E-09,-8.129023E-11,-1.341104e-09
-33.98969,-9.746256E-10,-8.536891E-11,-1.174574e-09
-35.99916,-1.181343E-09,-8.778549E-11,-1.083023e-09
-37.99272,-1.208741E-09,-1.897442E-10,-9.991856e-10
-39.99181,-1.311451E-09,-8.489103E-11,-1.197341e-09
-42.00119,-1.323254E-09,-6.719460E-11,-1.619682e-09
-43.99552,-1.400103E-09,-8.498752E-11,-1.81877e-09
-45.9914,-1.568473E-09,-1.293968E-10,-1.759044e-09
-48.00283,-1.503491E-09,+5.936421E-11,-2.311091e-09
-49.99304,-1.459922E-09,-2.111047E-10,-1.804181e-09
-51.99023,-1.522775E-09,-1.139655E-10,-1.756119e-09
-54.00633,-1.570303E-09,-1.021509E-10,-1.546884e-09
-55.99654,-1.642076E-09,-1.143790E-10,-6.863127e-10
-57.99362,-1.822694E-09,-2.444954E-10,-1.91558e-09
-60.00453,-1.523416E-09,-1.106196E-10,-1.575147e-09
-61.99644,-1.023572E-09,-1.352879E-10,-2.921655e-09
-63.99099,-1.106538E-09,-7.305584E-11,-1.268355e-09
-66.00381,-1.939650E-09,-4.345420E-11,-1.756424e-09
-67.99789,-2.171733E-09,-1.239226E-10,-2.358318e-09
-69.98987,-1.935270E-09,-1.123941E-10,-2.054345e-09
-72.00702,-2.102887E-09,+1.889732E-10,-2.258995e-09
-73.9984,-1.910609E-09,-1.465957E-10,-3.171815e-09
-75.99495,-2.229610E-09,-1.949217E-10,-2.002382e-09
-77.98684,-2.244545E-09,-3.177917E-10,-1.893106e-09
-79.99838,-2.056193E-09,-1.481808E-10,-2.985349e-09
-81.99801,-2.525231E-09,-1.221342E-10,-3.014107e-09
-83.98948,-2.203001E-09,-1.325381E-10,-2.857019e-09
-86.00089,-2.726562E-09,-1.639982E-10,-3.616434e-09
-87.996,-2.590821E-09,-1.054956E-10,-2.951582e-09
-89.99164,-2.672625E-09,-1.339039E-10,-2.996578e-09
-91.99926,-3.029134E-09,-2.583769E-10,-1.187985e-09
-93.9979,-2.348990E-09,-2.018386E-10,-3.274169e-09
-95.99323,-3.096667E-09,-1.489756E-10,-3.492956e-09
-98.00346,-3.194185E-09,-1.649226E-10,-3.42957e-09
-100.0009,-3.515487E-09,-1.340037E-10,-3.481768e-09
-101.9914,-3.403007E-09,-7.802918E-11,-3.973349e-09
-104.0041,-2.573624E-09,-1.485552E-10,-5.215842e-09
-105.9957,-3.430294E-09,-2.299308E-10,-4.869051e-09
-107.9928,-4.290072E-09,-1.547885E-10,-4.442372e-09
-110.0049,-4.221379E-09,-1.502986E-10,-4.622644e-09
-111.9988,-4.368191E-09,-8.757619E-11,-4.389855e-09
-113.9952,-4.682914E-09,-1.294562E-10,-4.301168e-09
-116.0041,-4.937470E-09,-1.179842E-10,-5.035958e-09
-118.002,-5.445308E-09,-1.432337E-10,-5.364417e-09
-119.9922,-5.144481E-09,-1.070139E-10,-5.707323e-09
-122.0054,-6.082172E-09,-2.554536E-10,-5.505397e-09
-124.0029,-6.074821E-09,-1.493225E-11,-5.140266e-09
-125.9924,-6.195625E-09,-1.415430E-10,-6.197169e-09
-128.0082,-6.629198E-09,-1.233917E-10,-4.124229e-09
-130.0014,-6.094552E-09,-2.153170E-10,-6.870498e-09
-131.9943,-7.985514E-09,-2.647215E-11,-7.561338e-09
-134.0058,-8.256801E-09,-6.878634E-11,-7.951075e-09
-136.0004,-8.787981E-09,-4.588657E-10,-7.728779e-09
-137.9972,-9.126988E-09,-3.562494E-10,-1.560026e-08
-140.0051,-8.747010E-09,-2.666533E-10,-9.115526e-09
-142.0027,-1.196610E-08,-1.303062E-10,-1.126556e-08
-143.9923,-1.233218E-08,-1.913792E-10,-1.264716e-08
-146.0107,-1.345654E-08,-1.793521E-10,-1.498406e-08
-148.0088,-1.516167E-08,-1.928699E-10,-1.543147e-08
-150.0013,-1.556240E-08,-1.282984E-10,-1.762977e-08
-152.0159,-1.928536E-08,-1.655540E-10,-2.051906e-08
-154.007,-2.350929E-08,-1.431679E-12,-2.285747e-08
-156.0043,-2.820999E-08,-2.816746E-11,-2.776178e-08
-158.014,-3.593737E-08,-1.629767E-10,-3.641661e-08
-160.0094,-5.023328E-08,-8.880967E-11,-4.824478e-08
-162.0062,-7.747925E-08,-3.984184E-10,-7.618141e-08
-164.0167,-1.586400E-07,-6.147783E-11,-1.669873e-07
-166.0324,-1.047563E-06,-1.775672E-10,-7.821019e-07
-166.2022,-1.010368E-05,-3.033426E-10,-7.754241e-06
