Temperature: -60 C
Humidity: 19 %
Date: 2024-12-11 17:22:01.459209
voltage,pad,gr,totalCurrent
0.01343902,-1.133101E-10,+8.259067E-10,4.773631e-10
-1.984587,+1.286978E-10,+1.949026E-11,-3.033062e-11
-3.979297,-8.343617E-11,-1.513110E-12,-6.051444e-10
-5.99446,+1.057662E-09,-1.436260E-11,-6.539873e-10
-7.983469,-7.768756E-11,+7.901669E-12,-5.445704e-10
-9.979267,+1.275763E-10,-7.805779E-12,-1.304072e-09
-11.99572,+2.010200E-09,+1.372180E-11,-1.095126e-10
-13.9816,-5.305675E-11,-1.077696E-11,-4.345044e-10
-15.98649,-1.632281E-09,+7.965986E-12,-7.400494e-10
-18.00243,+7.475710E-11,-8.247948E-12,-3.791749e-10
-19.98948,+4.604483E-10,+3.945405E-12,-4.194623e-10
-21.98004,+3.548116E-11,-1.101241E-11,-1.800833e-10
-23.99513,-1.709551E-12,-1.020960E-11,5.255312e-11
-25.98844,-5.213767E-12,-1.298209E-11,1.751945e-11
-27.98579,-5.023768E-11,+1.015944E-11,1.628007e-10
-29.99684,+1.225890E-13,-1.024635E-11,-2.150716e-10
-33.98491,-5.895489E-12,-6.729628E-12,-5.408487e-11
-37.98894,+8.422889E-13,+1.320731E-11,1.123286e-10
-41.99776,+1.825687E-12,-1.333584E-11,-1.288631e-10
-45.98689,-2.507586E-12,+1.805921E-12,-2.307114e-10
-49.98992,+1.389261E-12,-1.437293E-11,2.978416e-10
-54.00134,-4.409970E-12,+3.860424E-12,1.038674e-10
-57.98847,+2.928842E-12,+8.339216E-12,-9.451732e-11
-61.9917,+3.989535E-13,-1.299587E-11,4.394586e-10
-65.99924,-3.829132E-11,-5.981951E-12,7.937327e-11
-69.98666,-5.418634E-13,-1.140749E-11,-3.639351e-10
-73.99506,+8.388196E-12,-3.062446E-12,-1.078495e-11
-77.98275,+1.864838E-12,-1.443051E-12,1.113885e-10
-81.9943,+4.447336E-11,+6.407586E-12,-1.195588e-10
-83.98637,-5.760757E-12,-7.442848E-12,4.876559e-10
-85.99693,+2.195325E-12,-2.250453E-12,1.539935e-10
-87.99194,-3.158462E-11,-2.983198E-12,4.653753e-12
-89.98726,-7.103487E-12,-5.683339E-12,2.468221e-10
-91.99779,-4.819820E-13,-8.048113E-12,-7.914844e-12
-93.994,-2.379762E-12,-1.891874E-11,-1.893872e-10
-95.98804,+1.187279E-10,-1.271104E-11,5.171204e-11
-97.99641,+1.846413E-12,+2.505300E-12,8.892267e-11
-99.9953,-5.257413E-13,+1.638610E-11,-3.72546e-10
-101.9875,-1.138040E-11,-7.653028E-12,-1.252993e-10
-103.9995,-2.620439E-12,-9.401057E-12,-2.345253e-11
-105.9921,-3.007343E-10,+3.853403E-13,3.565162e-12
-107.9855,-6.809834E-12,-1.250546E-11,1.041636e-10
-109.9996,-2.474200E-11,+2.272187E-11,-7.432591e-11
-111.9932,-2.832326E-12,+1.051288E-13,-4.755811e-10
-113.9903,+4.764924E-11,-9.537727E-12,2.255449e-10
-115.9999,-4.915512E-12,-1.246298E-11,-3.392398e-10
-117.9967,-2.182845E-12,-4.829997E-12,1.079738e-10
-119.9888,-3.350533E-12,-1.575689E-11,-1.043163e-10
-122.0017,-4.336161E-13,-5.790150E-12,2.231701e-10
-123.9989,-2.455764E-12,+6.265188E-12,-2.958871e-10
-125.9884,-1.861913E-11,-7.966569E-12,3.824563e-10
-126.887,-4.988248E-06,+2.317893E-11,-4.997037e-06
