Temperature: 20 C
Humidity: 17 %
Date: 2024-12-11 11:13:17.218889
voltage,pad,gr,totalCurrent
0.009027787,-3.491502E-07,+3.234423E-07,-1.222313e-10
-1.998044,-1.866849E-09,+5.381860E-11,1.056332e-08
-3.982775,+1.989865E-09,-3.972257E-11,-7.746917e-10
-5.99526,-3.705423E-09,+7.210493E-12,-1.925311e-08
-7.989364,-3.528174E-09,+1.303272E-10,-1.077023e-09
-9.981779,+4.736040E-09,-6.434611E-12,3.042954e-09
-11.99608,-6.991867E-10,+5.902431E-12,-4.402234e-09
-13.9864,+6.482768E-10,+3.205343E-11,3.328569e-09
-15.9813,+8.512750E-09,-1.086977E-10,-4.7784e-09
-17.99678,+4.519651E-09,-4.293960E-11,8.456276e-09
-19.98883,-4.655011E-09,-1.539776E-11,-7.741041e-10
-21.98309,-5.004979E-10,-2.373726E-11,-8.014669e-10
-23.99502,-5.634078E-10,-1.634645E-11,-7.038253e-10
-25.991,-6.136641E-10,-2.872305E-11,-4.457412e-10
-27.98462,-6.004586E-10,-1.052704E-10,-4.5841e-10
-29.99948,-6.394723E-10,-4.825270E-11,-5.450648e-10
-33.98588,-5.934236E-10,-6.171353E-11,-1.058512e-09
-37.99,-7.025092E-10,-4.521825E-11,-9.501828e-10
-41.99911,-5.982571E-10,-4.038065E-11,-5.823799e-10
-45.98927,-8.601302E-10,-7.037227E-11,-1.048118e-09
-49.99328,-8.637275E-10,-6.086469E-11,-1.129085e-09
-54.00224,-6.856222E-10,-1.579926E-10,-1.204703e-09
-57.99009,-9.796928E-10,-5.781764E-11,-1.522121e-09
-61.99131,-1.093852E-09,-6.404158E-11,-1.023278e-09
-66.00057,-1.145281E-09,-7.781818E-11,-1.362826e-09
-69.98777,-1.185312E-09,-9.284674E-11,-1.23068e-09
-73.99642,-1.348069E-09,-7.302761E-11,-1.264337e-09
-77.98326,-1.377436E-09,-7.543038E-11,-1.186543e-09
-81.9957,-1.509408E-09,-7.495949E-11,-1.667428e-09
-85.99741,-1.588792E-09,-5.345798E-12,-1.698798e-09
-89.98971,-1.705857E-09,-5.150528E-11,-2.049234e-09
-93.99422,-1.874738E-09,-7.653069E-11,-2.105202e-09
-98.00015,-2.012755E-09,-1.064855E-10,-2.359428e-09
-101.9884,-2.227319E-09,-1.088722E-10,-2.445244e-09
-105.9933,-2.387871E-09,-8.645853E-11,-2.631116e-09
-110.0019,-2.508112E-09,-9.111015E-11,-3.189303e-09
-113.9903,-2.747089E-09,-1.262092E-10,-3.637937e-09
-117.998,-3.121928E-09,+1.056048E-10,-4.677752e-09
-122.0006,-3.580894E-09,-1.323528E-10,-1.847171e-09
-125.9885,-3.723849E-09,-2.337842E-10,-4.297021e-09
-128.0058,-4.126715E-09,-1.410103E-10,-4.894348e-09
-129.997,-4.278616E-09,-8.068032E-11,-4.627602e-09
-131.9933,-4.995463E-09,-8.760711E-11,-4.940826e-09
-133.9997,-5.389728E-09,-9.631867E-11,-5.747179e-09
-135.9973,-5.849170E-09,-8.915304E-11,-5.788933e-09
-137.9938,-6.347466E-09,-9.570882E-11,-6.624085e-09
-140.0044,-6.957445E-09,-8.644820E-11,-7.362946e-09
-141.9998,-7.447865E-09,-8.892444E-11,-7.393616e-09
-143.991,-8.540160E-09,-1.132594E-10,-8.590332e-09
-146.0074,-9.483408E-09,-2.858405E-11,-9.961815e-09
-148.007,-1.078364E-08,-3.404991E-11,-1.108264e-08
-149.9992,-1.260043E-08,-1.151960E-10,-1.267179e-08
-152.012,-1.474225E-08,-1.007439E-10,-1.461947e-08
-154.006,-1.794890E-08,-1.238661E-10,-1.807289e-08
-156.0007,-2.359985E-08,-9.635431E-11,-2.33087e-08
-158.0095,-3.236136E-08,-1.944963E-10,-3.192807e-08
-160.0072,-4.515331E-08,-8.645043E-11,-4.479819e-08
-162.0021,-9.390020E-08,-6.896862E-11,-8.945374e-08
-164.0139,-3.921252E-07,-5.030965E-11,-3.66734e-07
-164.7859,-9.982148E-06,-3.679946E-11,-9.973891e-06
