Temperature: 80 C
Humidity: 1` %
Date: 2024-12-05 15:58:06.637558
voltage,pad,gr,totalCurrent
0.003582388,-2.146799E-08,-2.062879E-09,-2.240969e-08
-1.992613,-4.348540E-08,-4.818342E-08,-9.237016e-08
-3.987178,-4.560970E-08,-4.849445E-08,-9.450584e-08
-6.001989,-4.738252E-08,-4.891992E-08,-9.709976e-08
-7.994545,-5.014364E-08,-4.906218E-08,-1.000194e-07
-9.99004,-5.393145E-08,-4.900318E-08,-1.039647e-07
-12.00387,-6.064045E-08,-4.887542E-08,-1.096714e-07
-13.9929,-7.122856E-08,-4.879960E-08,-1.203159e-07
-15.99339,-8.892522E-08,-4.874394E-08,-1.380781e-07
-18.00559,-1.186992E-07,-4.875755E-08,-1.682695e-07
-19.99951,-1.718572E-07,-4.886323E-08,-2.213057e-07
-21.99569,-2.573202E-07,-4.914801E-08,-3.07131e-07
-24.00885,-2.637452E-07,-4.963969E-08,-3.139371e-07
-26.00234,-2.687570E-07,-5.011600E-08,-3.1958e-07
-27.99716,-2.733815E-07,-5.036328E-08,-3.245942e-07
-30.01081,-2.781946E-07,-5.049173E-08,-3.293663e-07
-33.99994,-2.896898E-07,-5.102471E-08,-3.412056e-07
-38.00175,-3.029037E-07,-5.173405E-08,-3.554415e-07
-42.01347,-3.174985E-07,-5.272442E-08,-3.707256e-07
-46.00132,-3.331986E-07,-5.399484E-08,-3.880396e-07
-50.00434,-3.496080E-07,-5.581634E-08,-4.060777e-07
-54.016,-3.665763E-07,-5.898059E-08,-4.263393e-07
-58.00379,-3.837810E-07,-6.236881E-08,-4.469149e-07
-62.00821,-4.018277E-07,-6.360240E-08,-4.658882e-07
-66.0157,-4.204710E-07,-6.424015E-08,-4.853101e-07
-70.00304,-4.397722E-07,-6.477371E-08,-5.053379e-07
-74.01272,-4.600717E-07,-6.516537E-08,-5.260995e-07
-77.99998,-4.814551E-07,-6.544692E-08,-5.479604e-07
-82.01202,-5.041441E-07,-6.572234E-08,-5.711375e-07
-86.01419,-5.284845E-07,-6.590122E-08,-5.952402e-07
-90.00733,-5.543818E-07,-6.596878E-08,-6.211083e-07
-94.01347,-5.821745E-07,-6.598925E-08,-6.49023e-07
-98.01767,-6.123843E-07,-6.602433E-08,-6.792716e-07
-102.0082,-6.447918E-07,-6.604731E-08,-7.117042e-07
-106.0142,-6.801881E-07,-6.604264E-08,-7.474375e-07
-110.0238,-7.187424E-07,-6.599415E-08,-7.86261e-07
-114.0188,-7.605710E-07,-6.592652E-08,-8.279845e-07
-118.0289,-8.069243E-07,-6.581210E-08,-8.750109e-07
-121.8187,-8.581669E-07,-6.573021E-08,-9.260648e-07
-124.9558,-9.152736E-07,-6.565168E-08,-9.842938e-07
-127.5914,-9.793491E-07,-6.553159E-08,-1.049795e-06
-130.1458,-1.051697E-06,-6.543486E-08,-1.118166e-06
-138.0027,-1.133962E-06,-6.533237E-08,-1.200456e-06
-142.0074,-1.228911E-06,-6.521709E-08,-1.295154e-06
-146.0179,-1.339282E-06,-6.510754E-08,-1.405827e-06
-150.0066,-1.468830E-06,-6.500278E-08,-1.534977e-06
-152.0215,-1.541000E-06,-6.476942E-08,-1.607159e-06
-154.0133,-1.619865E-06,-6.458174E-08,-1.685787e-06
-156.0093,-1.707000E-06,-6.438943E-08,-1.772755e-06
-158.019,-1.804239E-06,-6.419006E-08,-1.869807e-06
-160.0156,-1.911789E-06,-6.396490E-08,-1.977312e-06
-162.0102,-2.032416E-06,-6.376581E-08,-2.09775e-06
-164.0199,-2.168400E-06,-6.358323E-08,-2.235787e-06
-166.0187,-2.325061E-06,-6.340581E-08,-2.392015e-06
-168.0093,-2.504395E-06,-6.322963E-08,-2.571691e-06
-170.0255,-2.716074E-06,-6.306196E-08,-2.783176e-06
-172.0184,-2.963442E-06,-6.291780E-08,-3.030105e-06
-174.0132,-3.258343E-06,-6.277046E-08,-3.325344e-06
-176.0278,-3.620817E-06,-6.263268E-08,-3.687264e-06
-178.0213,-4.066802E-06,-6.250306E-08,-4.13333e-06
-180.0162,-4.634954E-06,-6.236160E-08,-4.701233e-06
-182.0265,-5.388601E-06,-6.223777E-08,-5.454964e-06
-184.0291,-6.420498E-06,-6.214113E-08,-6.486562e-06
-186.0229,-7.921921E-06,-6.204938E-08,-7.98737e-06
-188.0428,-1.032935E-05,-6.198384E-08,-1.039284e-05
-188.1073,-1.462156E-05,-6.198782E-08,-1.468742e-05
-192.0123,-2.421946E-05,-6.216879E-08,-2.426864e-05
-194.016,-5.629859E-05,-6.313142E-08,-5.645195e-05
-194.8566,-9.990885E-05,-6.453448E-08,-9.997899e-05
