Temperature: 0 C
Humidity: 14 %
Date: 2024-12-06 16:11:31.544000
voltage,pad,gr,totalCurrent
0.002384812,-1.076616E-10,-2.576765E-12,-3.735767e-11
-1.993605,-8.193879E-11,-1.388556E-11,-8.525028e-10
-3.986976,+5.172717E-11,+6.731792E-12,-7.665244e-11
-6.000783,-1.068278E-10,+1.164034E-11,2.182529e-11
-7.993953,-6.369476E-11,+4.937887E-12,-2.528322e-11
-9.989475,-8.971111E-11,-1.294028E-11,5.304922e-11
-12.00201,+7.465399E-11,-2.202430E-11,-2.279427e-10
-13.99076,+4.149887E-11,-2.323948E-11,-6.199013e-10
-15.99093,+3.004177E-11,-5.660668E-12,2.232e-11
-18.00238,+3.663695E-12,-6.036248E-12,-4.349577e-10
-19.9953,-5.270707E-11,-1.137134E-11,-5.116664e-10
-21.98989,-1.560079E-10,-6.572629E-12,-4.206065e-10
-24.00003,-1.575339E-10,+5.519015E-12,-2.765847e-11
-25.99636,-1.739491E-10,-5.940918E-12,-6.65566e-11
-27.9911,-1.813944E-10,+7.284203E-12,-1.984006e-11
-30.00384,-1.830849E-10,-3.300344E-11,-3.36473e-10
-33.99338,-1.906407E-10,-3.201913E-11,-4.67571e-10
-37.9956,-2.086163E-10,+2.613517E-11,-4.705911e-10
-42.00438,-2.262684E-10,-1.831443E-11,-3.754228e-10
-45.99447,-2.341862E-10,+2.057314E-11,-4.254058e-10
-49.99713,-2.554517E-10,-2.100322E-11,-2.57785e-10
-54.01042,-2.761812E-10,-8.065763E-12,-1.849848e-10
-57.99504,-3.007074E-10,-3.347321E-11,-1.088704e-10
-62.0004,-3.242764E-10,-3.241078E-11,-2.00971e-10
-66.00701,-3.431610E-10,-1.014008E-11,-2.399186e-10
-69.99239,-3.661820E-10,+1.509149E-11,-3.24596e-10
-74.00183,-3.960862E-10,+4.039107E-11,-5.909004e-10
-77.99088,-4.234718E-10,-3.116227E-11,-5.12014e-10
-82.00037,-4.462484E-10,-2.645890E-11,-3.720066e-10
-86.00278,-4.784238E-10,-1.049843E-11,-3.897238e-10
-89.99282,-5.235238E-10,+2.863193E-11,-4.865253e-10
-94.00113,-5.591830E-10,-1.310913E-11,-6.462303e-10
-98.00517,-6.163849E-10,+2.835631E-11,-7.507499e-10
-101.9957,-6.690763E-10,-4.730426E-11,-5.023628e-10
-106.0004,-7.284851E-10,+3.497263E-11,-9.974587e-10
-110.0091,-8.012064E-10,-5.295427E-12,-6.185638e-10
-112.0025,-8.448864E-10,+2.456636E-11,-8.442873e-10
-113.9994,-8.857089E-10,-3.997986E-11,-1.080702e-09
-116.0078,-9.357035E-10,-3.740131E-11,-1.164928e-09
-118.0056,-9.905817E-10,+9.079113E-13,-1.286729e-09
-119.9963,-1.056616E-09,+1.827161E-11,-1.311718e-09
-122.0065,-1.120720E-09,-1.881176E-11,-1.38313e-09
-124.0061,-1.203417E-09,-2.515760E-11,-1.068922e-09
-125.9966,-1.293634E-09,-3.784698E-11,-1.370511e-09
-128.011,-1.383826E-09,+3.135612E-11,-1.651261e-09
-130.0044,-1.504715E-09,+3.830091E-11,-1.269207e-09
-131.9981,-1.632177E-09,-1.414857E-11,-1.890948e-09
-134.0082,-1.803382E-09,-6.515869E-11,-1.900052e-09
-136.005,-1.991180E-09,-8.760650E-12,-1.970773e-09
-138.0002,-2.225007E-09,-5.786303E-11,-2.066092e-09
-140.01,-2.519106E-09,-1.111195E-12,-2.420636e-09
-142.0052,-2.903382E-09,-8.151201E-11,-3.086764e-09
-143.9963,-3.411923E-09,-4.906847E-11,-3.388064e-09
-146.0141,-4.158224E-09,+3.371162E-11,-4.373954e-09
-148.0126,-5.286478E-09,-1.331358E-11,-5.433357e-09
-150.0052,-7.221987E-09,-6.492784E-11,-7.49868e-09
-152.0181,-1.129646E-08,-6.350597E-11,-1.128317e-08
-154.011,-2.410006E-08,-3.106927E-11,-2.40128e-08
-156.0135,-2.451611E-07,+1.961647E-11,-2.62923e-07
-156.2391,-9.994187E-06,-2.048523E-11,-9.997872e-06
