Temperature: -60 C
Humidity: 6 %
Date: 2024-12-09 10:42:02.419434
voltage,pad,gr,totalCurrent
0.005707651,+2.849834E-10,-1.630241E-11,-1.202042e-10
-1.991553,-1.112690E-10,+1.495038E-11,-1.004444e-09
-3.987178,+9.582241E-11,-1.427502E-11,7.920435e-12
-6.003458,-2.283388E-11,-1.366737E-11,-6.486079e-10
-7.992607,-8.349477E-11,-2.578354E-13,-4.215819e-11
-9.98797,+8.269433E-11,+1.768396E-11,-1.953292e-10
-12.0029,-8.456934E-11,-1.496995E-11,1.243566e-10
-13.99215,+3.838525E-11,+1.601164E-11,-1.887977e-10
-15.98963,-4.085854E-11,+1.560851E-11,-3.292011e-10
-18.00391,-1.307865E-12,+9.792150E-12,1.949973e-11
-19.99728,-3.941769E-11,-6.230892E-12,-9.20441e-11
-21.9898,+1.646279E-12,+2.859401E-12,-5.88557e-12
-24.00229,+2.860161E-12,+9.337312E-12,-2.70151e-11
-25.99499,+3.736521E-14,-1.410155E-11,-5.591642e-11
-27.99119,-2.324846E-12,-4.370054E-12,3.047259e-10
-30.00396,-3.003219E-12,+1.956626E-12,2.4745e-11
-33.99372,-1.390786E-12,-3.458013E-12,3.599494e-10
-37.99572,-2.022148E-14,-1.014093E-11,-2.310591e-11
-42.00547,+4.224908E-12,-1.364896E-11,4.339767e-10
-45.99446,-4.555975E-14,+1.143440E-12,-1.146113e-10
-49.99696,+5.095602E-13,+1.686155E-11,4.354878e-11
-54.01063,-2.466507E-12,+1.112561E-11,1.554825e-10
-57.99463,-3.336064E-12,+2.053235E-11,7.81382e-11
-61.99901,-1.036051E-12,+1.543139E-12,3.960237e-10
-66.00758,+1.928456E-13,+1.466088E-11,5.552447e-11
-69.99302,+1.231668E-12,-1.129073E-11,-3.077213e-10
-74.00237,-2.372062E-12,+3.810405E-12,4.191587e-11
-77.9894,-3.761051E-12,-9.694086E-12,-1.203031e-10
-82.00164,-1.442612E-12,-2.060867E-11,4.656771e-11
-83.99164,+8.642793E-13,+7.937187E-12,2.457407e-10
-86.00245,-7.458133E-13,-2.241208E-11,1.228226e-10
-87.99789,-3.797906E-12,+8.383977E-12,-2.163629e-10
-89.99393,+2.460516E-12,+2.700562E-11,-2.076526e-10
-92.00359,+5.199248E-13,-1.581988E-11,4.123036e-10
-93.99946,-4.104264E-12,-2.403969E-11,-2.683776e-10
-95.99429,-1.330909E-13,+1.536607E-11,2.071918e-10
-98.00455,+3.448680E-13,-9.597584E-12,-1.448498e-10
-100.0044,-4.659415E-13,+1.893447E-12,4.082736e-11
-101.9961,-7.341773E-12,-1.332269E-11,-4.183816e-10
-104.0071,+3.434839E-12,-1.914179E-11,-2.789677e-10
-105.9991,-2.062240E-12,+2.006598E-11,8.031598e-11
-107.9924,-5.067104E-12,-4.333278E-12,-2.17402e-10
-110.0073,-1.987377E-12,-7.751692E-12,7.922661e-11
-112.0031,-3.588283E-12,-2.118066E-11,1.257415e-10
-113.9976,+2.624050E-12,+1.736092E-12,1.853211e-10
-116.0075,-2.996290E-12,+2.882143E-11,4.552055e-10
-118.0037,+5.124354E-12,+2.177271E-11,4.393724e-10
-119.9945,+1.085400E-12,-1.781048E-11,9.694232e-11
-122.0082,-1.911361E-12,-9.275948E-12,-1.973093e-10
-124.0047,-4.364543E-12,-2.579249E-11,-2.985167e-10
-125.9958,-1.560195E-11,-1.491125E-11,-2.117604e-10
-128.0118,-8.916317E-10,+3.414267E-11,-2.589735e-10
-128.1421,-4.956446E-06,+6.592193E-12,-4.99696e-06
