Temperature: -20 C
Humidity: 0 %
Date: 2024-11-25 16:26:36.186756
voltage,pad,gr,totalCurrent
0.006850153,+8.387285E-11,+4.069565E-12,2.901245e-10
-1.986515,+9.673560E-11,-1.378782E-12,-7.98705e-10
-3.982668,+1.434162E-10,-1.974876E-12,-8.931787e-10
-5.998928,+4.658777E-11,+1.365334E-11,-7.595071e-10
-7.988511,+6.191151E-11,-3.148688E-12,-6.059938e-10
-9.984474,-1.027672E-10,+6.762662E-12,1.22425e-10
-11.99904,+5.811256E-11,+1.105095E-11,-4.939473e-10
-13.98639,+3.222575E-12,+3.123244E-12,-6.220137e-11
-15.98767,+6.644633E-11,-3.990745E-13,-5.687257e-10
-18.00002,+1.546705E-11,-1.027540E-11,-2.60852e-10
-19.9923,-3.170986E-12,+1.066163E-11,-1.29903e-10
-21.98625,-6.068414E-12,-2.141588E-13,-1.717717e-10
-23.99887,-1.118728E-11,+4.578325E-12,-1.544993e-10
-25.9924,-1.937053E-11,-6.517542E-13,2.069424e-10
-27.98722,-5.196650E-12,+4.600004E-13,9.466455e-11
-30.00069,-1.363097E-11,+7.129019E-12,1.245033e-10
-31.99095,-6.682216E-12,-6.866520E-12,2.364838e-10
-33.98919,-4.183245E-12,-5.807564E-12,-6.28942e-11
-36.00243,-1.198879E-11,-6.982527E-12,1.6629e-11
-37.99199,-9.140889E-12,-2.070205E-12,-2.163123e-10
-39.99267,-1.572113E-11,-1.214293E-11,-3.775357e-11
-42.00178,-1.674720E-11,-4.449986E-12,-1.686533e-10
-43.99711,-1.384747E-11,+1.935752E-12,-1.612295e-10
-45.99105,-1.417222E-11,+7.351821E-12,-3.112233e-11
-48.00219,-1.771570E-11,-1.086805E-11,-1.874596e-10
-49.99411,-1.445436E-11,-2.245931E-12,2.052112e-10
-51.98903,-2.132021E-11,-4.664766E-12,-1.196093e-10
-54.00593,-2.051640E-11,-3.715089E-13,1.489716e-11
-55.99545,-1.217996E-11,-6.103887E-12,1.73393e-10
-57.99253,-1.917018E-11,-5.515837E-12,-1.659808e-10
-60.00392,-1.498988E-11,+3.329964E-12,1.05006e-10
-61.99565,-1.380486E-11,-6.145237E-12,-2.338312e-10
-63.98974,-2.189374E-11,+6.411243E-12,3.070794e-12
-66.00267,-2.699762E-11,-3.561013E-12,1.440236e-11
-67.99644,-2.671663E-11,+2.755742E-12,-2.583279e-10
-69.98997,-1.605971E-11,-1.158262E-12,-1.768685e-10
-72.00549,-2.403340E-11,-1.141590E-11,-1.76628e-11
-73.99804,-2.147568E-11,-4.977166E-12,1.746299e-10
-75.99544,-2.113481E-11,+1.375900E-11,-2.384829e-10
-77.98739,-2.896110E-11,-2.676638E-12,-5.885691e-12
-79.99855,-2.785097E-11,-1.433912E-12,-1.780565e-10
-81.99677,-2.186147E-11,-1.213375E-11,-2.207662e-10
-83.98907,-2.233824E-11,-1.833818E-11,-1.694452e-10
-86.00021,-3.145203E-11,-5.966068E-12,-2.679289e-10
-87.99474,-3.842610E-11,-8.289571E-12,-1.163431e-10
-89.98983,-3.094418E-11,-6.498992E-12,4.481207e-13
-92.00005,-3.398094E-11,-5.742101E-12,1.087182e-10
-93.99751,-3.627259E-11,-6.226786E-12,1.836366e-10
-95.9913,-3.917695E-11,+2.290622E-12,1.133445e-11
-98.00132,-3.127007E-11,-3.325563E-12,-7.680084e-11
-99.99843,-4.755486E-11,-1.843943E-12,-3.144001e-10
-101.9921,-4.553375E-11,-9.628773E-12,-1.748398e-10
-104.0041,-4.626276E-11,-4.644092E-12,-7.353448e-11
-105.9952,-4.837136E-11,-7.134133E-12,-1.48918e-11
-107.9915,-4.417143E-11,+1.160911E-11,-4.804741e-11
-110.0038,-5.330826E-11,-1.670036E-11,1.270272e-10
-111.9993,-6.212258E-11,-1.418276E-11,-2.053286e-11
-113.9948,-5.557575E-11,-4.680845E-12,1.569647e-10
-116.0047,-7.185365E-11,-6.813692E-12,1.151012e-10
-118.0002,-7.639789E-11,+2.129740E-11,-2.979188e-10
-119.9918,-7.676056E-11,-4.191567E-12,-4.245506e-11
-122.0036,-8.180465E-11,-1.980793E-13,-2.199237e-10
-124.0022,-8.798641E-11,-5.897330E-13,7.086343e-11
-125.9919,-1.019750E-10,+1.537143E-11,-3.975429e-10
-128.0071,-1.021338E-10,-9.269281E-12,-3.213281e-10
-130.0008,-1.284249E-10,+9.184744E-12,-4.391124e-10
-131.9977,-1.512058E-10,+5.808312E-12,-3.679966e-10
-134.0027,-1.689485E-10,-9.659780E-12,-2.270502e-10
-136.0002,-1.984066E-10,-1.589292E-11,-4.016011e-10
-137.9964,-2.425531E-10,-9.132598E-12,-3.074225e-10
-140.0069,-3.125753E-10,+7.640086E-12,-5.004814e-10
-142.0018,-4.615341E-10,-1.677502E-11,-6.623094e-10
-143.9938,-7.628149E-10,-1.649593E-11,-6.740886e-10
-146.0123,-2.048797E-09,+4.393428E-12,-1.844364e-09
-147.6141,-9.996001E-06,-1.294577E-11,-7.961657e-06
-147.6517,-9.993450E-06,-1.165366E-11,-9.997877e-06
-147.6455,-9.993407E-06,-7.003205E-12,-9.997932e-06
-147.6484,-1.000018E-05,-8.386050E-12,-9.997942e-06
