Temperature: 60 C
Humidity: 0 %
Date: 2024-11-25 15:06:42.687733
voltage,pad,gr,totalCurrent
0.005216829,-9.144222E-09,+9.305823E-09,-1.002501e-09
-1.989735,-4.720773E-09,-4.300527E-09,-9.275009e-09
-3.981539,-5.061921E-09,-4.350480E-09,-1.020932e-08
-5.998323,-5.433118E-09,-4.409802E-09,-1.008168e-08
-7.989186,-6.039350E-09,-4.458176E-09,-1.076578e-08
-9.984239,-6.571792E-09,-4.487204E-09,-1.144031e-08
-12.00034,-7.661266E-09,-4.503193E-09,-1.260326e-08
-13.98608,-9.188602E-09,-4.504393E-09,-1.403803e-08
-15.98953,-1.189307E-08,-4.505119E-09,-1.677749e-08
-17.99843,-1.630470E-08,-4.509852E-09,-2.088584e-08
-19.99288,-2.454669E-08,-4.531281E-09,-2.895228e-08
-21.98836,-3.157453E-08,-4.551060E-09,-3.612283e-08
-23.99881,-3.237904E-08,-4.604981E-09,-3.725191e-08
-25.99545,-3.301772E-08,-4.639649E-09,-3.767495e-08
-27.98697,-3.366524E-08,-4.701800E-09,-3.849373e-08
-30.00257,-3.435316E-08,-4.753405E-09,-3.930594e-08
-31.99097,-3.503656E-08,-4.794024E-09,-3.998748e-08
-33.98895,-3.578912E-08,-4.839028E-09,-4.067773e-08
-36.0007,-3.658037E-08,-4.865334E-09,-4.163862e-08
-37.99455,-3.741136E-08,-4.886539E-09,-4.261105e-08
-39.99379,-3.832385E-08,-4.911457E-09,-4.350084e-08
-42.00031,-3.926758E-08,-4.913960E-09,-4.412787e-08
-43.99777,-4.023703E-08,-4.923096E-09,-4.545583e-08
-45.99136,-4.124658E-08,-4.916654E-09,-4.638229e-08
-48.00456,-4.228828E-08,-4.919634E-09,-4.737395e-08
-49.99509,-4.333198E-08,-4.921430E-09,-4.820002e-08
-51.98814,-4.439649E-08,-4.925924E-09,-4.949757e-08
-54.00623,-4.548379E-08,-4.935993E-09,-5.030347e-08
-55.99736,-4.656750E-08,-4.953527E-09,-5.179964e-08
-57.9934,-4.771023E-08,-4.984825E-09,-5.257614e-08
-60.0039,-4.883339E-08,-4.999210E-09,-5.382125e-08
-61.99837,-4.999100E-08,-5.017316E-09,-5.534499e-08
-63.99123,-5.115313E-08,-5.028113E-09,-5.651028e-08
-66.00452,-5.238656E-08,-5.026364E-09,-5.76722e-08
-67.99915,-5.358135E-08,-5.032704E-09,-5.895691e-08
-69.99121,-5.483740E-08,-5.030717E-09,-5.982729e-08
-72.00804,-5.611900E-08,-5.027474E-09,-6.14833e-08
-73.99937,-5.741204E-08,-5.025570E-09,-6.248484e-08
-75.99615,-5.877729E-08,-5.025683E-09,-6.379268e-08
-77.9883,-6.016628E-08,-5.029011E-09,-6.507727e-08
-80.00008,-6.162868E-08,-5.027526E-09,-6.664003e-08
-81.99953,-6.308822E-08,-5.028141E-09,-6.827761e-08
-83.98946,-6.463321E-08,-5.019155E-09,-6.998357e-08
-86.00211,-6.620224E-08,-5.019550E-09,-7.143812e-08
