Temperature: -60 C
Humidity: 9 %
Date: 2024-11-27 09:47:47.082316
voltage,pad,gr,totalCurrent
0.006904632,-2.306563E-10,+1.885410E-11,7.189495e-10
-1.991691,+7.699706E-11,-2.597841E-11,-4.820198e-10
-3.984205,-4.348162E-11,-7.737836E-12,-7.74651e-10
-6.001053,+4.433084E-11,-1.852250E-11,-7.804428e-10
-7.991637,+9.481810E-11,+1.273920E-11,-5.799476e-11
-9.98688,-9.703907E-11,-7.744722E-12,-5.214644e-10
-11.99924,-6.370129E-11,+9.987089E-13,1.209402e-10
-13.99007,-3.567407E-11,+1.288850E-11,2.815893e-11
-15.99177,-6.081272E-11,-2.709047E-12,-3.771023e-10
-18.00354,-7.525994E-12,+3.473853E-11,-2.598629e-10
-19.99508,+3.340374E-12,+1.094859E-11,-1.293586e-10
-21.9895,+4.688983E-12,+3.565621E-11,1.252227e-11
-24.002,-2.378945E-12,+1.260824E-11,2.727071e-10
-25.99552,-1.124720E-12,-1.734512E-11,-7.402938e-11
-27.98816,+2.483525E-12,+5.838698E-12,-1.695933e-10
-30.00335,+3.201018E-12,+4.142418E-11,-3.362247e-10
-33.99084,+6.730925E-13,+5.892003E-11,3.53339e-11
-37.9938,-5.638320E-13,-4.733397E-11,3.741232e-11
-42.00374,+1.828221E-12,+2.100871E-11,-4.270249e-11
-45.99238,+1.857012E-12,+5.365620E-11,4.414202e-11
-49.99483,+3.228656E-12,-8.553339E-14,-1.080288e-10
-54.00749,-2.694512E-12,+1.667179E-11,1.484536e-10
-57.99445,-3.749491E-13,+3.500146E-11,-2.606047e-10
-61.99777,+2.108077E-12,-1.045321E-11,1.298969e-10
-66.00436,-6.348912E-12,+5.450480E-12,1.586179e-12
-69.99237,+8.757863E-13,-1.322603E-11,-2.534779e-10
-74.00145,+1.430893E-12,-7.873553E-13,2.593218e-11
-77.98869,-6.101290E-12,-6.936054E-12,2.526662e-10
-82.00005,-9.024356E-13,+6.285462E-12,1.439503e-10
-86.0034,-4.545319E-12,-2.763119E-11,-1.871622e-10
-89.99346,-3.416633E-12,-5.279707E-12,-2.625346e-10
-93.99945,+1.169460E-12,-3.988630E-12,-1.728105e-10
-98.00475,+1.328391E-12,-4.415924E-12,6.754801e-11
-101.9936,-4.074260E-12,-5.300378E-12,2.151573e-10
-104.0065,-7.440725E-12,-1.342129E-11,-8.442214e-11
-105.9989,+6.049085E-12,-1.282055E-11,-1.393058e-10
-107.9918,-5.421769E-12,-4.588542E-11,-2.18539e-10
-110.0077,+2.026302E-12,-1.021083E-11,-1.860245e-10
-112.0007,+4.323916E-13,-2.867066E-11,3.543311e-11
-113.9974,-2.041481E-12,+2.441638E-11,4.976922e-13
-116.0063,+6.148128E-12,-8.972586E-12,5.829448e-11
-118.0033,-4.071953E-12,-1.534641E-11,-1.164417e-10
-119.9946,-3.464999E-12,+1.283790E-11,-2.16215e-11
-122.009,-2.132463E-12,+1.217173E-11,7.482219e-11
-124.0061,-8.651161E-12,-5.587530E-12,2.262411e-10
-125.993,-6.247543E-12,-2.954821E-11,1.52438e-11
-128.008,-4.919471E-06,-3.055211E-11,-4.970645e-06
