Temperature: 40 C
Humidity: 11 %
Date: 2024-11-27 11:01:04.902971
voltage,pad,gr,totalCurrent
0.003910013,-4.661904E-11,+1.088399E-10,3.893407e-10
-1.992354,-3.639076E-10,-1.410552E-10,-1.043883e-09
-3.985296,-1.583512E-10,-1.380702E-10,-2.315552e-10
-6.001397,-2.747417E-10,-1.573604E-10,-3.821039e-10
-7.99158,-2.797765E-10,-1.668362E-10,-1.091984e-09
-9.987604,-4.198693E-10,-1.766830E-10,-1.196059e-09
-12.00216,-3.969744E-10,-1.906107E-10,-8.527992e-10
-13.9943,-4.718449E-10,-2.066734E-10,-1.268416e-09
-15.99147,-7.241770E-10,-2.084332E-10,-1.031804e-09
-18.00303,-1.178877E-09,-2.084329E-10,-1.267477e-09
-19.99743,-2.133142E-09,-2.177007E-10,-2.73673e-09
-21.98981,-4.347108E-09,-2.280106E-10,-4.441492e-09
-24.00251,-4.510244E-09,-2.383156E-10,-4.857127e-09
-25.99759,-4.649696E-09,-2.384098E-10,-4.954847e-09
-27.99124,-4.778479E-09,-2.543532E-10,-5.251755e-09
-30.00528,-4.918230E-09,-2.663455E-10,-5.351326e-09
-33.99233,-5.214439E-09,-2.841783E-10,-5.382663e-09
-37.99697,-5.538923E-09,-3.191042E-10,-5.733289e-09
-42.00492,-5.905333E-09,-3.622943E-10,-6.397567e-09
-45.99463,-6.306812E-09,-4.149383E-10,-6.924462e-09
-49.99803,-6.738123E-09,-4.471650E-10,-7.091221e-09
-54.00877,-7.183856E-09,-4.712576E-10,-7.717098e-09
-57.99665,-7.647064E-09,-4.823071E-10,-8.240006e-09
-62.00172,-8.138697E-09,-4.993438E-10,-8.844877e-09
-66.00689,-8.659088E-09,-5.126281E-10,-9.0965e-09
-69.99404,-9.197166E-09,-5.393576E-10,-9.628786e-09
-74.00202,-9.771850E-09,-5.457614E-10,-1.063898e-08
-77.99129,-1.040407E-08,-5.514866E-10,-1.100496e-08
-82.00271,-1.106162E-08,-5.739268E-10,-1.149753e-08
-86.00488,-1.178289E-08,-5.810996E-10,-1.241348e-08
-89.99495,-1.257480E-08,-5.967258E-10,-1.341901e-08
-94.00248,-1.344698E-08,-6.003954E-10,-1.414699e-08
-98.006,-1.439590E-08,-6.198524E-10,-1.523464e-08
-101.996,-1.544675E-08,-6.194709E-10,-1.604842e-08
-105.9997,-1.661534E-08,-6.272998E-10,-1.734708e-08
-110.0075,-1.792888E-08,-6.381410E-10,-1.856872e-08
-113.9993,-1.940671E-08,-6.467932E-10,-1.996382e-08
-118.0053,-2.105871E-08,-6.491959E-10,-2.161295e-08
-122.0082,-2.299910E-08,-6.575109E-10,-2.356109e-08
-125.9978,-2.525610E-08,-6.626965E-10,-2.576682e-08
-130.0062,-2.789912E-08,-6.738629E-10,-2.848693e-08
-134.0087,-3.104781E-08,-6.869543E-10,-3.196454e-08
-138.0014,-3.489686E-08,-6.892466E-10,-3.579291e-08
-142.0071,-3.965928E-08,-6.928545E-10,-4.0275e-08
-146.0156,-4.580399E-08,-7.030297E-10,-4.666084e-08
-150.0062,-5.384006E-08,-7.093678E-10,-5.46888e-08
-154.0104,-6.503719E-08,-7.163343E-10,-6.592541e-08
-158.0184,-8.159852E-08,-7.276107E-10,-8.222097e-08
-160.0152,-9.324014E-08,-7.320911E-10,-9.387119e-08
-162.0094,-1.084887E-07,-7.258403E-10,-1.090969e-07
-164.0202,-1.295513E-07,-7.379312E-10,-1.304323e-07
-166.0169,-1.599557E-07,-7.395510E-10,-1.608774e-07
-168.01,-2.076801E-07,-7.381772E-10,-2.085931e-07
-170.0255,-2.949045E-07,-7.387825E-10,-2.957089e-07
-172.0238,-4.928880E-07,-7.538817E-10,-4.942572e-07
-173.7362,-1.257545E-06,-7.501066E-10,-1.260281e-06
-176.038,-9.995973E-06,-7.565602E-10,-9.346373e-06
